,Current date,HCHO_value,Location
1460,2024-01-01,5.893615858648697e-05,Nuwara Eliya
1461,2024-01-02,6.364595764917695e-05,Nuwara Eliya
1462,2024-01-03,6.308820193785999e-05,Nuwara Eliya
1463,2024-01-04,6.550263022295452e-05,Nuwara Eliya
1464,2024-01-05,6.54440202173413e-05,Nuwara Eliya
1465,2024-01-06,6.567027215553875e-05,Nuwara Eliya
1466,2024-01-07,6.578221877810215e-05,Nuwara Eliya
1467,2024-01-08,6.5789317884809e-05,Nuwara Eliya
1468,2024-01-09,6.581375188039828e-05,Nuwara Eliya
1469,2024-01-10,6.581834082041783e-05,Nuwara Eliya
1470,2024-01-11,6.582078775258864e-05,Nuwara Eliya
1471,2024-01-12,6.58224448344775e-05,Nuwara Eliya
1472,2024-01-13,6.582278207569334e-05,Nuwara Eliya
1473,2024-01-14,6.582306263044203e-05,Nuwara Eliya
1474,2024-01-15,6.582316434446087e-05,Nuwara Eliya
1475,2024-01-16,6.582320201925795e-05,Nuwara Eliya
1476,2024-01-17,6.58232250595164e-05,Nuwara Eliya
1477,2024-01-18,6.58232324000751e-05,Nuwara Eliya
1478,2024-01-19,6.58232362097285e-05,Nuwara Eliya
1479,2024-01-20,6.582323791224234e-05,Nuwara Eliya
1480,2024-01-21,6.582323855155485e-05,Nuwara Eliya
1481,2024-01-22,6.582323888313756e-05,Nuwara Eliya
1482,2024-01-23,6.5823239013235e-05,Nuwara Eliya
1483,2024-01-24,6.582323907101689e-05,Nuwara Eliya
1484,2024-01-25,6.582323909773371e-05,Nuwara Eliya
1485,2024-01-26,6.582323910844882e-05,Nuwara Eliya
1486,2024-01-27,6.582323911345264e-05,Nuwara Eliya
1487,2024-01-28,6.582323911558899e-05,Nuwara Eliya
1488,2024-01-29,6.582323911650463e-05,Nuwara Eliya
1489,2024-01-30,6.582323911692083e-05,Nuwara Eliya
